"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Dengue","Travel-associated cases","Reported cases","N","2009-01","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","DE","Germany",20.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","EU_EEA31","EU/EEA",51.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","EU28","EU",51.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","FR","France",6.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","HU","Hungary",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","IS","Iceland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","IT","Italy",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","PL","Poland",3.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","RO","Romania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","SE","Sweden",18.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","SI","Slovenia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-01","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","DE","Germany",18.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","EU_EEA31","EU/EEA",38.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","EU28","EU",38.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","FI","Finland",-,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","FR","France",4.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","HU","Hungary",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2009-02","IS","Iceland",0.000000000,""
